man	mężczyzna
chapter, unit	rozdział (ł/l)
ołówek (e/-)	pencil
pencil	ołówek (e/-)
tytuł (ł/l)	title
title	tytuł (ł/l)
słowo (o/ó)	word
word	słowo (o/ó)
wiedza	knowledge
knowledge	wiedza
wypracowanie	essay, composition
essay, composition	wypracowanie
wykład (d/dź)	lecture
lecture	wykład (d/dź)
uniwersytet (t/ć)	university
university	uniwersytet (t/ć)
profesor (r/rz)	professor
professor	profesor (r/rz)
egzamin (n/ń)	exam, examination
exam, examination	egzamin (n/ń)
semestr (r/rz)	semester, term
semester, term	semestr (r/rz)
tekst (st/ść)	text
text	tekst (st/ść)
gimnazjum	intermediate school
intermediate school	gimnazjum
słownik	dictionary
dictionary	słownik
przedszkole	kindergarten
kindergarten	przedszkole
dokument (t/ć)	document
document	dokument (t/ć)
liceum	high school
high school	liceum
notatka (k/c) (-/e)	note
note	notatka (k/c) (-/e)
pacjent (t/ć)	patient
patient	pacjent (t/ć)
leczenie	treatment
treatment	leczenie
opieka (k/c)	care, protection
care, protection	opieka (k/c)
pomoc	help, aid, assistance
help, aid, assistance	pomoc
zdrowie	health
health	zdrowie
głowa (o/ó)	head
head	głowa (o/ó)
oko (k/cz)	eye
eye	oko (k/cz)
ucho (ch/sz)	ear
ear	ucho (ch/sz)
twarz	face
face	twarz
nos (s/ś)	nose
nose	nos (s/ś)
usta	mouth
mouth	usta
ręka (k/c) (ę/ą)	hand, arm
hand, arm	ręka (k/c) (ę/ą)
serce	heart
heart	serce
noga (g/dz) (o/ó)	leg
leg	noga (g/dz) (o/ó)
ciało (ł/l) (a/e)	body
body	ciało (ł/l) (a/e)
choroba (o/ó)	illness, disease
illness, disease	choroba (o/ó)
mózg	brain
brain	mózg
plecy	back
back	plecy
stopa (o/ó)	foot
foot	stopa (o/ó)
dieta (t/ć)	diet
diet	dieta (t/ć)
krew (e/-)	blood
blood	krew (e/-)
operacja	surgery, operation
surgery, operation	operacja
karetka (k/c) (-/e)	ambulance
ambulance	karetka (k/c) (-/e)
lek	medicine
medicine	lek
wypadek (e/-)	accident
accident	wypadek (e/-)
ból	pain
pain	ból
wirus (s/ś)	virus
virus	wirus (s/ś)
brzuch	stomach, belly
stomach, belly	brzuch
włos (s/ś)	hair
hair	włos (s/ś)
szyja (j/-)	neck
neck	szyja (j/-)
skóra (r/rz)	skin
skin	skóra (r/rz)
pielęgniarka (k/c) (-/e)	nurse
nurse	pielęgniarka (k/c) (-/e)
palec (e/-)	finger, toe
finger, toe	palec (e/-)
wizyta (t/ć)	appointment, visit
appointment, visit	wizyta (t/ć)
kwiat (t/ć) (a/e)	flower
flower	kwiat (t/ć) (a/e)
trawa	grass
grass	trawa
świat (t/ć) (a/e)	world
world	świat (t/ć) (a/e)
niebo	sky, heaven
sky, heaven	niebo
drzewo	tree
tree	drzewo
las (s/ś) (a/e)	forest
forest	las (s/ś) (a/e)
słońce	sun
sun	słońce
chmura (r/rz)	cloud
cloud	chmura (r/rz)
deszcz	rain
rain	deszcz
wiatr (r/rz) (a/e)	wind
wind	wiatr (r/rz) (a/e)
tęcza	rainbow
rainbow	tęcza
śnieg	snow
snow	śnieg
burza	storm
storm	burza
przyroda (d/dź)	nature
nature	przyroda (d/dź)
pogoda (d/dź) (o/ó)	weather
weather	pogoda (d/dź) (o/ó)
ogień ('e/-)	fire
fire	ogień ('e/-)
jezioro (r/rz)	lake
lake	jezioro (r/rz)
morze (o/ó)	sea
sea	morze (o/ó)
rzeka (k/c)	river
river	rzeka (k/c)
światło (ł/l) (a/e) (-/e)	light
light	światło (ł/l) (a/e) (-/e)
księżyc	moon
moon	księżyc
wyspa	island
island	wyspa
wszechświat (t/ć) (a/e)	universe
universe	wszechświat (t/ć) (a/e)
ziemia	earth, land, ground
earth, land, ground	ziemia
planeta (t/ć)	planet
planet	planeta (t/ć)
gwiazda (zd/źdź) (a/e)	star
star	gwiazda (zd/źdź) (a/e)
wybrzeże	coast
coast	wybrzeże
klimat (t/ć)	climate
climate	klimat (t/ć)
roślina (n/ń)	plant
